time,trial
0.012214,1
0.011959,2
0.011825,3
0.012718,4
0.012784,5
0.011963,6
0.011775,7
0.011780,8
0.011745,9
0.012069,10
0.012957,11
0.011683,12
0.011617,13
0.013190,14
0.014521,15
