time,trial
0.015024,1
0.014496,2
0.014832,3
0.015048,4
0.015640,5
0.015320,6
0.014720,7
0.014792,8
0.015280,9
0.021072,10
0.017376,11
0.014488,12
0.014952,13
0.014920,14
0.014712,15
