time,trial
0.006528,1
0.006400,2
0.005936,3
0.005952,4
0.005752,5
0.005848,6
0.005856,7
0.005752,8
0.005840,9
0.005752,10
0.005880,11
0.005816,12
0.005888,13
0.006064,14
0.005944,15
