time,trial
0.006572,1
0.005764,2
0.005858,3
0.005792,4
0.005897,5
0.006196,6
0.006850,7
0.006436,8
0.006768,9
0.006474,10
0.007522,11
0.006320,12
0.006609,13
0.006651,14
0.007163,15
