time,trial
0.017542,1
0.017381,2
0.018832,3
0.018129,4
0.017301,5
0.017229,6
0.017405,7
0.017862,8
0.020841,9
0.018262,10
0.023629,11
0.020617,12
0.018557,13
0.017235,14
0.021330,15
