time,trial
0.002220,1
0.001722,2
0.001617,3
0.001750,4
0.001865,5
0.001609,6
0.001643,7
0.001721,8
0.001730,9
0.001611,10
0.001668,11
0.001536,12
0.001596,13
0.002217,14
0.002099,15
