time,trial
0.002295,1
0.001695,2
0.001848,3
0.001583,4
0.001761,5
0.001555,6
0.001496,7
0.001602,8
0.001564,9
0.001549,10
0.001546,11
0.001521,12
0.001628,13
0.001641,14
0.001658,15
