time,trial
0.006032,1
0.005528,2
0.005608,3
0.005480,4
0.005576,5
0.005464,6
0.005568,7
0.005472,8
0.005568,9
0.005592,10
0.005496,11
0.005600,12
0.005504,13
0.005592,14
0.005480,15
